iso3,country,year,phase_type,ipc_phase,population_total,gdp_current_usd,poverty_rate,brd_deaths,one_sided_deaths,Climate: Standard Deviation,Climate: Temperature change,Crop: Maize (corn) - Production,Crop: Maize (corn) - Yield,Crop: Millet - Production,Crop: Millet - Yield,Crop: Rice - Production,Crop: Rice - Yield,Crop: Sorghum - Production,Crop: Sorghum - Yield,Crop: Wheat - Production,Crop: Wheat - Yield
SOM,Somalia,2017,proj1,1,14916629,7621501710,,1918,,0.425764706,1.542705882,77000,770,,,1473.51,1727.4,95000,394.2,1044.66,396.4
SOM,Somalia,2017,proj2,1,14916629,7621501710,,1918,,0.425764706,1.542705882,77000,770,,,1473.51,1727.4,95000,394.2,1044.66,396.4
SOM,Somalia,2018,current,1,15452487,7873440830,,2204,,0.425764706,0.603411765,102000,1096.8,,,1766.17,1764.4,130000,555.6,1049.62,397.1
SOM,Somalia,2018,proj1,1,15452487,7873440830,,2204,,0.425764706,0.603411765,102000,1096.8,,,1766.17,1764.4,130000,555.6,1049.62,397.1
SOM,Somalia,2018,proj2,1,15452487,7873440830,,2204,,0.425764706,0.603411765,102000,1096.8,,,1766.17,1764.4,130000,555.6,1049.62,397.1
SOM,Somalia,2019,current,1,16030971,8655023960,,1943,,0.425764706,1.536058824,57000,570,,,2002.59,2006.3,125000,500,1053.38,397.9
SOM,Somalia,2019,proj1,1,16030971,8655023960,,1943,,0.425764706,1.536058824,57000,570,,,2002.59,2006.3,125000,500,1053.38,397.9
SOM,Somalia,2019,proj2,1,16030971,8655023960,,1943,,0.425764706,1.536058824,57000,570,,,2002.59,2006.3,125000,500,1053.38,397.9
SOM,Somalia,2020,current,1,16651191,8628393720,,1942,,0.425764706,1.771294118,75000,750,,,2007.83,1996,100000,400,1056.18,398.8
SOM,Somalia,2020,proj1,1,16651191,8628393720,,1942,,0.425764706,1.771294118,75000,750,,,2007.83,1996,100000,400,1056.18,398.8
SOM,Somalia,2020,proj2,1,16651191,8628393720,,1942,,0.425764706,1.771294118,75000,750,,,2007.83,1996,100000,400,1056.18,398.8
SOM,Somalia,2021,current,1,17271431,9483997390,,2172,,0.425764706,1.583647059,49000,490,,,2000,2000,59000,236,1052.44,399.5
SOM,Somalia,2021,proj1,1,17271431,9483997390,,2172,,0.425764706,1.583647059,49000,490,,,2000,2000,59000,236,1052.44,399.5
SOM,Somalia,2021,proj2,1,17271431,9483997390,,2172,,0.425764706,1.583647059,49000,490,,,2000,2000,59000,236,1052.44,399.5
SOM,Somalia,2022,current,1,17801897,10202767270,,3034,,0.425764706,1.627647059,65000,650,,,2000,2000,72000,288,1056.33,400.4
SOM,Somalia,2022,proj1,1,17801897,10202767270,,3034,,0.425764706,1.627647059,65000,650,,,2000,2000,72000,288,1056.33,400.4
SOM,Somalia,2022,proj2,1,17801897,10202767270,,3034,,0.425764706,1.627647059,65000,650,,,2000,2000,72000,288,1056.33,400.4
SOM,Somalia,2023,current,1,18358615,10968517090,,3859,,0.425764706,1.286529412,75000,750,,,2000,2000,100000,400,1060.22,401.3
SOM,Somalia,2023,proj1,1,18358615,10968517090,,3859,,0.425764706,1.286529412,75000,750,,,2000,2000,100000,400,1060.22,401.3
SOM,Somalia,2023,proj2,1,18358615,10968517090,,3859,,0.425764706,1.286529412,75000,750,,,2000,2000,100000,400,1060.22,401.3
SOM,Somalia,2024,current,1,19009151,12108515110,,2298,,0.425764706,2.765705882,,,,,,,,,,
SOM,Somalia,2024,proj1,1,19009151,12108515110,,2298,,0.425764706,2.765705882,,,,,,,,,,
SOM,Somalia,2024,proj2,1,19009151,12108515110,,2298,,0.425764706,2.765705882,,,,,,,,,,
SOM,Somalia,2025,current,1,,,,,,,,,,,,,,,,,
SOM,Somalia,2025,proj1,1,,,,,,,,,,,,,,,,,
SOM,Somalia,2025,proj2,1,,,,,,,,,,,,,,,,,
SSD,South Sudan,2017,current,2,10259154,,,484,230,0.510941176,1.360823529,152314,885.2,50079,885.2,13022,885.2,548692,885.2,,
